household_id,client_primary_id,client_primary_first_name,client_primary_last_name,client_primary_dob,spouse_partner_id,spouse_first_name,spouse_last_name,spouse_dob,marital_status,dependents_count,dependents_ages,address_line1,address_city,address_state,address_zip,email_primary,phone_primary,advisor_name,last_review_date,next_review_date,as_of_date,risk_tolerance_1to5,time_horizon_years,investment_objective_primary,tax_filing_status,state_of_residence,federal_marginal_tax_rate_pct,state_tax_rate_pct,income_w2_annual,income_1099_annual,spouse_income_annual,other_income_annual,monthly_expenses_fixed,monthly_expenses_variable,savings_rate_pct,emergency_fund_target_months,goal_1_desc,goal_1_target_date,goal_1_target_amount,goal_1_priority_1to5,goal_2_desc,goal_2_target_date,goal_2_target_amount,goal_2_priority_1to5,goal_3_desc,goal_3_target_date,goal_3_target_amount,goal_3_priority_1to5,estate_docs_will_on_file,estate_docs_trust_type,estate_docs_last_updated,healthcare_proxy_on_file,powers_of_attorney_on_file,charitable_intent,record_level,sub_type,account_id,account_name,registration,tax_status,custodian,owner,beneficiary_primary,beneficiary_contingent,is_employer_sponsored,employer_name,employer_match_pct,employer_match_cap_pct,vesting_schedule,rmd_required,auto_contribution_amount,auto_contribution_frequency,account_contribution_ytd,account_contribution_annual_goal,position_type,symbol,cusip,description,asset_class,sector,currency,quantity,price,market_value,cost_basis_total,unrealized_gain_loss,expense_ratio_pct,yield_pct,coupon_pct,maturity_date,duration_years,risk_beta,risk_stddev_pct,property_address,property_type,property_est_value,property_purchase_price,property_purchase_date,liens,mortgage_lender,mortgage_balance,mortgage_rate_pct,mortgage_payment_monthly,mortgage_maturity_date,heloc_balance,insurance_policy_type,insurance_carrier,policy_number,face_amount,annual_premium,premium_mode,cash_surrender_value,policy_loan_balance,riders,annuity_type,annuity_income_start_date,annuity_income_amount,student_beneficiary_name,education_account_owner,education_goal_amount,education_target_year,equity_comp_plan_type,grant_id,grant_date,shares_granted,shares_vested,shares_unvested,strike_price,expiration_date,espp_discount_pct,espp_lookback,next_vest_date,debt_interest_rate_pct,debt_min_payment,debt_credit_limit,wallet_or_fund_name,althead_class,chain_or_vehicle,metric_name,metric_value,metric_period_label,notes
HH-1001,C-001,Alex,Rivera,1987-03-12,C-002,Taylor,Rivera,1989-07-30,Married,2.0,6;3,123 Main St,Cupertino,CA,95014.0,alex@example.com,+1-555-123-4567,"Jordan Smith, CFP®",2025-06-18,2026-06-17,2025-08-16,3.0,20.0,Growth with moderate volatility,Married filing jointly,CA,24.0,9.3,165000.0,0.0,98000.0,3000.0,5200.0,1800.0,18.0,6.0,College fund for both kids,2040-08-01,300000.0,5.0,Retire to Santa Barbara with $140k/yr after-tax,2052-03-01,4000000.0,5.0,Kitchen remodel,2027-09-01,80000.0,2.0,Yes,Revocable Living Trust,2024-05-01,Yes,Yes,Yes,Household,Profile,,,,,,,,,,,,,,,,,,,,,,,,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prefers ESG tilt; avoid energy equities.
HH-1001,C-001,Alex,Rivera,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Account,401k,A-401K-01,Vanguard 401(k),Individual,Tax-Deferred,Vanguard,Alex,Taylor Rivera|Spouse|100%,Kids|Children|Per Stirpes,Yes,TechCo Inc.,4.0,4.0,20%/yr over 5 yrs,No,1500.0,Monthly,9000.0,23000.0,,,,,,,USD,,,185000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catch-up eligible at age 50.
HH-1001,,,,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Position,Security,A-401K-01,Vanguard 401(k),Individual,Tax-Deferred,Vanguard,Alex,,,,,,,,,,,,,Fund,VFIAX,922908363.0,Vanguard 500 Index Admiral,US Equity,,USD,320.5,450.1,144257.05,0.0,,0.04,1.3,,,,1.0,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Core index holding.
HH-1001,,,,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Position,RealEstate,PROP-01,Primary Residence,Joint,,,Alex & Taylor,,,,,,,,,,,,,RealEstate,,,Single-family home,Real Assets,,USD,1.0,,1650000.0,1200000.0,450000.0,,,,,,,,"123 Main St, Cupertino, CA 95014",Primary Residence,1650000.0,1150000.0,2019-08-15,First mortgage,FirstBank,820000.0,3.25,4100.0,2049-09-01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Refi in 2021; extra principal payments quarterly.
HH-1001,,,,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Position,LifeInsurance,LIFE-01,IUL Policy - Alex,Individual,,Everly Life,Alex,Taylor Rivera|Spouse|100%,Kids|Children|Per Stirpes,,,,,,,500.0,Monthly,2500.0,6000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IUL,Everly Life,EL-123456,1000000.0,6000.0,Annual,45000.0,0.0,Child Term; Waiver of Premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cap 9%; Floor 0%.
HH-1001,,,,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education,529,EDU-529-01,CA 529 - Child 1,Owner: Alex | Beneficiary: Kid1,529,CA ScholarShare,Alex,Child 1|100%,Child 2|100% if unused,,,,,,,,,3000.0,5000.0,,,,,,,,,,42000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rivera Child 1,Alex Rivera,150000.0,2042.0,,,,,,,,,,,,,,,,,,,,,Age-based aggressive track.
HH-1001,,,,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EquityComp,RSU,EQ-001,TechCo RSU,Employee,Taxable at vest,Fidelity Stock Plan,Alex,,,,,,,,,,,,,,,,,,,,,,74100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RSU,RSU-2023-01,2023-06-15,1200.0,400.0,800.0,,,,,2025-12-15,,,,,,,,,,"Quarterly vesting, 25%/yr over 4 years."
HH-1001,,,,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liability,StudentLoan,SL-01,Fed Student Loan,Individual,,FedLoan,Alex,,,,,,,,,,,,,,,,,,,,,,38000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75,420.0,,,,,,,,On SAVE plan; considering PSLF eligibility check.
HH-1001,,,,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Position,Crypto,CR-01,Coinbase Wallet,Individual,Taxable,Coinbase,Alex,,,,,,,,,,,,,,ETH,,,,,,6.2,3200.0,19840.0,11000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coinbase Wallet,Crypto,ETH mainnet,,,,Keep below 5% portfolio policy.
HH-1001,,,,,,,,,,,,,,,,,,,,,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metric,Planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asset Allocation,Equity 68% | Bonds 18% | Real Assets 10% | Cash 4%,Q2-2025,Within IPS bands.
